ID,Estacao,Municipios,X_coord,Y_coord,CHUVA
1,1839000,PEDRO CANARIO,-39.96,-18.3,1037
2,1839001,CONCEICAO DA BARRA,-39.75,-18.56,1164.7
3,1839006,SAO MATEUS,-39.76,-18.95,1394.9
4,1840000,AGUIA BRANCA,-40.75,-18.99,1250.8
5,1840003,SAO MATEUS,-40.09,-18.49,1127.7
6,1840004,BARRA DE SAO FRANCISCO,-40.89,-18.75,1097.6
7,1840007,AGUA DOCE DO NORTE,-40.98,-18.55,1217
8,1840008,JAGUARE,-39.99,-18.98,1610.7
9,1840009,ECOPORANGA,-40.89,-18.12,1089.3
10,1840010,NOVA VENECIA,-40.69,-18.81,1197.1
11,1840011,ECOPORANGA,-40.72,-18.19,1104.8
12,1840012,MONTANHA,-40.14,-18.15,1123.2
13,1840013,ECOPORANGA,-40.84,-18.37,1333
14,1840015,ECOPORANGA,-40.6,-18.21,1121.7
15,1840016,NOVA VENECIA,-40.46,-18.49,1130.2
16,1840017,PINHEIROS,-40.41,-18.32,1150
17,1840019,NOVA VENECIA,-40.44,-18.7,1051.9
18,1840020,BOA ESPERANCA,-40.34,-18.56,1098.8
19,1841009,MANTENOPOLIS,-41.12,-18.91,993.2
20,1841010,AGUA DOCE DO NORTE,-41.04,-18.41,1210.9
21,1939002,LINHARES,-39.79,-19.58,1196.9
22,1940000,ITARANA,-40.87,-19.87,1145.9
23,1940001,SANTA TEREZA,-40.68,-19.81,1082.1
24,1940002,ARACRUZ,-40.15,-19.96,1261
25,1940005,JOAO NEIVA,-40.4,-19.69,1356.8
26,1940006,COLATINA,-40.62,-19.53,1072.9
27,1940007,FUNDAO,-40.4,-19.94,1519.7
28,1940009,PANCAS,-40.85,-19.22,1188.2
29,1940010,SANTA TEREZA,-40.55,-19.95,1864.2
30,1940012,ITAGUACU,-40.84,-19.66,1122.8
31,1940013,GOVERNADOR LINDEMBERG,-40.59,-19.24,1170.3
32,1940016,SAO DOMINGOS DO NORTE,-40.52,-19.06,1174.6
33,1940020,SANTA TEREZA,-40.74,-19.96,1144.9
